2025-10-26 15:36:01,025 | INFO | golden_backtest | #0002 🎯 SELL @ $3330.22 | P&L: $-49.92 | Balance: $10077.62 | Reason: SL Hit
2025-10-26 15:36:01,508 | INFO | golden_backtest | #0003 🎯 BUY @ $3360.37 | P&L: $-41.41 | Balance: $10036.21 | Reason: SL Hit
2025-10-26 15:36:01,849 | INFO | golden_backtest | #0004 🎯 SELL @ $3315.94 | P&L: $79.88 | Balance: $10116.09 | Reason: TP Hit
2025-10-26 15:36:01,879 | INFO | golden_backtest | #0005 🎯 SELL @ $3300.77 | P&L: $-42.71 | Balance: $10073.38 | Reason: SL Hit
2025-10-26 15:36:02,295 | INFO | golden_backtest | #0006 🎯 BUY @ $3369.44 | P&L: $-35.01 | Balance: $10038.37 | Reason: SL Hit
2025-10-26 15:36:02,499 | INFO | golden_backtest | #0007 🎯 BUY @ $3351.99 | P&L: $-48.40 | Balance: $9989.97 | Reason: SL Hit
2025-10-26 15:36:02,786 | INFO | golden_backtest | #0001 🎯 SELL @ $3366.17 | P&L: $127.55 | Balance: $10127.55 | Reason: TP Hit
2025-10-26 15:36:03,066 | INFO | golden_backtest | #0002 🎯 SELL @ $3330.22 | P&L: $-49.92 | Balance: $10077.62 | Reason: SL Hit
2025-10-26 15:36:03,549 | INFO | golden_backtest | #0003 🎯 BUY @ $3360.37 | P&L: $-41.41 | Balance: $10036.21 | Reason: SL Hit
2025-10-26 15:36:03,890 | INFO | golden_backtest | #0004 🎯 SELL @ $3315.94 | P&L: $79.88 | Balance: $10116.09 | Reason: TP Hit
2025-10-26 15:36:04,332 | INFO | golden_backtest | #0005 🎯 BUY @ $3369.44 | P&L: $-35.13 | Balance: $10080.96 | Reason: SL Hit
2025-10-26 15:36:04,535 | INFO | golden_backtest | #0006 🎯 BUY @ $3352.00 | P&L: $-48.35 | Balance: $10032.61 | Reason: SL Hit
2025-10-26 15:36:06,089 | INFO | golden_backtest | #0007 🎯 BUY @ $3436.66 | P&L: $-46.41 | Balance: $9986.20 | Reason: SL Hit
2025-10-26 15:36:06,379 | INFO | golden_backtest | #0001 🎯 SELL @ $3366.17 | P&L: $127.55 | Balance: $10127.55 | Reason: TP Hit
2025-10-26 15:36:06,659 | INFO | golden_backtest | #0002 🎯 SELL @ $3330.22 | P&L: $-49.92 | Balance: $10077.62 | Reason: SL Hit
2025-10-26 15:36:07,169 | INFO | golden_backtest | #0003 🎯 BUY @ $3360.37 | P&L: $-41.41 | Balance: $10036.21 | Reason: SL Hit
2025-10-26 15:36:07,511 | INFO | golden_backtest | #0004 🎯 SELL @ $3315.94 | P&L: $79.88 | Balance: $10116.09 | Reason: TP Hit
2025-10-26 15:36:07,953 | INFO | golden_backtest | #0005 🎯 BUY @ $3369.44 | P&L: $-35.13 | Balance: $10080.96 | Reason: SL Hit
2025-10-26 15:36:08,156 | INFO | golden_backtest | #0006 🎯 BUY @ $3352.00 | P&L: $-48.35 | Balance: $10032.61 | Reason: SL Hit
2025-10-26 15:36:09,708 | INFO | golden_backtest | #0007 🎯 BUY @ $3436.66 | P&L: $-46.41 | Balance: $9986.20 | Reason: SL Hit
2025-10-26 15:36:09,978 | INFO | golden_backtest | #0001 🎯 SELL @ $3366.17 | P&L: $127.55 | Balance: $10127.55 | Reason: TP Hit
2025-10-26 15:36:10,258 | INFO | golden_backtest | #0002 🎯 SELL @ $3330.22 | P&L: $-49.92 | Balance: $10077.62 | Reason: SL Hit
2025-10-26 15:36:10,741 | INFO | golden_backtest | #0003 🎯 BUY @ $3360.37 | P&L: $-41.41 | Balance: $10036.21 | Reason: SL Hit
2025-10-26 15:36:11,081 | INFO | golden_backtest | #0004 🎯 SELL @ $3315.94 | P&L: $79.88 | Balance: $10116.09 | Reason: TP Hit
2025-10-26 15:36:11,522 | INFO | golden_backtest | #0005 🎯 BUY @ $3369.44 | P&L: $-35.13 | Balance: $10080.96 | Reason: SL Hit
2025-10-26 15:36:11,727 | INFO | golden_backtest | #0006 🎯 BUY @ $3352.00 | P&L: $-48.35 | Balance: $10032.61 | Reason: SL Hit
2025-10-26 15:36:13,284 | INFO | golden_backtest | #0007 🎯 BUY @ $3436.66 | P&L: $-46.41 | Balance: $9986.20 | Reason: SL Hit
2025-10-26 15:36:13,553 | INFO | golden_backtest | #0001 🎯 SELL @ $3366.17 | P&L: $191.96 | Balance: $10191.96 | Reason: TP Hit
2025-10-26 15:36:13,832 | INFO | golden_backtest | #0002 🎯 SELL @ $3330.22 | P&L: $-49.92 | Balance: $10142.03 | Reason: SL Hit
2025-10-26 15:36:14,314 | INFO | golden_backtest | #0003 🎯 BUY @ $3360.37 | P&L: $-41.41 | Balance: $10100.62 | Reason: SL Hit
2025-10-26 15:36:14,653 | INFO | golden_backtest | #0004 🎯 SELL @ $3315.94 | P&L: $119.82 | Balance: $10220.44 | Reason: TP Hit
2025-10-26 15:36:14,678 | INFO | golden_backtest | #0005 🎯 SELL @ $3297.79 | P&L: $-43.47 | Balance: $10176.97 | Reason: SL Hit
2025-10-26 15:36:15,094 | INFO | golden_backtest | #0006 🎯 BUY @ $3369.44 | P&L: $-35.01 | Balance: $10141.96 | Reason: SL Hit
2025-10-26 15:36:15,115 | INFO | golden_backtest | #0007 🎯 BUY @ $3369.50 | P&L: $-35.60 | Balance: $10106.36 | Reason: SL Hit
2025-10-26 15:36:15,383 | INFO | golden_backtest | #0001 🎯 SELL @ $3366.17 | P&L: $191.96 | Balance: $10191.96 | Reason: TP Hit
